Title,Genres,Release Date,Country,Movie Rating,Review Rating,Movie Run Time,Cast,Language,Budget
Gut (2012), Drama| Horror| Thriller,26/10/2012,USA,RATED,3.9,91,Jason Vail|Nicholas Wilder|Sarah Schoofs|Kirstianna Mueller|Kaitlyn Mueller|Angie Bullaro|Ria Burns-Wilder|Miles Joris-Peyrafitte|Karl Pfeiffer|Leisa Haddad|Misty Gonzalez|Jordan Sariego|Christine Kadets|Deborah J. Atuk|J. Brett Rose,English,538
The Haunting of Mia Moss (2017), Horror,13/01/2017,USA,RATED,9.6,90,Nicola Fiore|Brinke Stevens|Curtis Carnahan|Jake Zelch|Haley Bordelon|Asalee Biagioli|Emily Christina|Erin Felts|Jerri Gerth|Dustin Hubbard|Justin Isom Jr.|Erik Kommer|Mackenzie Lampkin-Isom|Ben Milke|Destinie Orndoff,English,278
Sleepwalking (2017), Horror,21/10/2017,Canada,RATED,3.7,90,Alysia Topol|Anthony Makela|Kelsi Ashley|Patrick J. Carew|Chiv Chivaul|Starlotte Dresen|Melanie Durette|Emilie Overton|Corey Pascall|Lindsay Primeau|Trish Rainone|Tammy-lynn Wilcox,English,1740
Treasure Chest of Horrors II (2013), Comedy| Horror| Thriller,23/04/2013,USA,NOT RATED,3.7,82,Veronica Ricci|Nicholas Adam Clark|James Cullen Bressack|Nick Waugh|Shawn C. Phillips|Brent Buser|Miles Dougal|Joseph Frantz|M. Kelley|Brendan Mitchell|Joben Penuliar|Ethan Phillips|Kim Phillips|Stephen Phillips|Alex Powers,English,1057
Infidus (2015), Crime| Drama| Horror,10/04/2015,USA,RATED,5.8,80,Bonini Mino|Massimo Caratelli|Maurizio Zaffino|Stefania Bonini|Andrea Di Spirito|Walter Montano|Cristiano Mazzacane|Simone Paternosto|Adrian Baigus|Domenico Deltreppo|Manolo Di Rocco|Stefania Caratelli|Christian Riva|Domenico Vagnati|Roberta Abatiello,Italian,1065
In Extremis (2017), Horror| Thriller,09/07/1905,UK,RATED,1.8,93,David O'Hara|Isabelle Allen|Neil Pearson|Toyah Willcox|Bill Fellows|Tina Harris|Nick Cornwall|Lisa Gormley|Joe Simpson|Stuart Sessions|Luke Ryder|Jeannie McGinnis|Michael David Worden|Lorraine Dallas|Amy Popplewell,English,1233
Ghostlight (2013), Drama| Horror| Thriller,03/06/2014,USA,NOT RATED,5.1,90,Eden Campbell|Lisa Coronado|David A. Crellin|Jeff Ferrell|Ramona Freeborn|Russell Hodgkinson|Dennis Kleinsmith|Brian Sutherland,English,666
Parasyte: Part 2 (2015), Action| Drama| Horror| Sci-Fi,25/04/2015,Japan,RATED,6.5,117,Shôta Sometani|Eri Fukatsu|Ai Hashimoto|Sadao Abe|Satoshi Araki|Tadanobu Asano|Kazuki Kitamura|Jun Kunimura|Nao Ohmori|Pierre Taki,Japanese,1524
Stranger in the House (2015), Horror| Mystery| Thriller,28/05/2017,Spain,RATED,4.6,90,Annabella Sciorra|Tammy Blanchard|Nathan Darrow|Dennis Boutsikaris|Jenn Liu|Roberta Maxwell|Bettina Skye|Angela Lin|Susan-Kate Heaney|Paul Urcioli|Yvette Mercedes|Peter Sabri|Fatima Mai|Denis Silvestri|Mike Nojun Park,English,497
Tutak Tutak Tutiya (2016), Comedy| Horror,07/10/2016,India,RATED,5.4,138,Tamannaah Bhatia|Karishma Gulati|Esha Gupta|Amy Jackson|Farah Khan|Ravi Khanna|Prabhudheva|Murli Sharma|Kanwalpreet Singh|Sonu Sood|Rajiv Thakur,Hindi,1589
The Strange House (2015), Horror,24/07/2015,China,RATED,5.3,87,Siu-Fai Cheung|Yi Song|Zitian Tian|Jiao Xu,Chinese,1314
Rise of the Animals (2011), Adventure| Comedy| Horror,01/05/2012,USA,NOT RATED,3.6,70,Greg Hoople|Stephanie Motta|Adam Schonberg|Nikki Preston|Charles Bigelow|Phillip Musumeci|Katie LeVander|Melissa Orioli|Laura Blank|Tricia Dalusio|Brittany Cerra|Renee Radwan|Justine Turner|Max Roth|Charlie Roth,English,1791
When Death Calls (2012), Horror,28/04/2012,USA,RATED,5.9,91,Suzi Lorraine|Tina Krause|Nathalie Bryant|Jae Mosc|Pooya Mohseni|Robert Lincourt|Katt Masterson|Darlene McCullough|Rebecca Rose McCain|Stephen Alan Wilson|Jim Haggerty|Dennis Newman|Alex Kruz|Angela Alvizuri|David Tapias,English,1751
Dark Medicine (2013), Horror| Sci-Fi,05/07/1905,USA,NOT RATED,2.8,72,Ola Akinroluyo|Byron Baudo|Josh Bednarsky|Emily Brooks|Corey Browne|Shawn Calloway|Drew Chase|JinYoung Choi|Russ Kingston|Abbey Kochman|Nyell Leahy|Kelci C. Magel|Robert Maxwell|Tariq Nasheed|Rachelle Neal,English,382
Sexy Durga (2017), Drama| Fantasy| Horror| Mystery| Thriller,21/03/2017,USA,RATED,5.9,85,Rajshri Deshpande|Bilas Nair|Arun Sol|Sujish|Vedh,Other,329
Circus of the Dead (2014), Action| Horror| Thriller,13/01/2017,USA,RATED,6,102,Bill Oberst Jr.|Parrish Randall|Chanel Ryan|Roger Edwards|Brad Potts|Ryan Clapp|Rusty Edwards|Mike Williams|Jed Duesler|Travis Steele|Steve Brooks|Jordan Bell|Madi Lane|Kyle Mueller|Sergio Gracida,English,210
Zombie Resurrection (2014), Horror,23/03/2015,UK,NOT RATED,2.7,86,Eric Colvin|Jim Sweeney|Danny Brown|Simon Burbage|Jade Colucci|Joe Rainbow|Rachel Nottingham|Shamiso Mushambi|Georgia Winters|Rupert Phelps|Jamie Frampton|Kate Korbel|Andy Bazire|Ian McIntyre|Jake Hawkins,English,253
Falling (2016), Drama| Horror| Romance| Thriller,08/04/2016,USA,RATED,7.1,105,Josh Helman|Yael Stone|Jennifer Allcott|Paul Sorvino|Yvonne Cone|Slate Holmgren|Danny Lane|Melissa Almas|Sashah Askari|Marc Brockett|Paul Buckley|Laura Calhoun|Joe Caruso|Kallie Flynn Childress|Heather Delia,English,657
Bad Behavior (2015), Horror,27/10/2015,USA,RATED,4.4,64,John Langston|Amelia Blue|Rex Roby|Peyton Hicks|Brian Cannon|Samantha Kalahar|Aaron Keith|Blake Harthcock|Clayton Southerland|Melanie Calvert Benton|Nate Womack,English,1065
Devil's Tower (2014), Horror,16/09/2014,UK,RATED,3.4,82,Jason Mewes|Roxanne Pallett|Frances Ruffelle|Jessica-Jane Stafford|Emma Buckley|Kweku Amoa|Peter Barrett|Jason Owen Bee|Jason Thomas Brown|Jessica Ann Brownlie|Alison Carroll|Adam Dakin|Emily Denton-Davies|Lee Dilley|Steven Dolton,English,1596
I Am ZoZo (2012), Horror| Thriller,18/02/2012,USA,UNRATED,3.6,85,Kelly McLaren|Courtney Foxworthy|Demetrius Sager|Caleb Courtney|Caleb Debattista|Darren Wayne Evans|John Vejvoda|Sophia Mitri Schloss|Demeri Millikin,English,1899
Before Dawn (2013), Horror,08/06/2013,Japan,NOT RATED,4.7,82,Dominic Brunt|Joanne Mitchell|Eileen O'Brien|Nicky Evans|Alex Baldacci|Alan French|Holly Illis|David Nolan|Neale Myers|Bryn Hammond|Mark Charnock|Tony Earnshaw|Ian Jowett,English,1921
Apparition (2015), Fantasy| Horror| Thriller,05/05/2015,USA,NOT RATED,4,100,Katrina Law|Jody Quigley|Lili Bordán|Jarett Armstrong|Rebeka Choudhury|Airen DeLaMater|Dave Droxler|Joseph Forsstrom|Pete Postiglione|Megan Rose|Thomas Roy|Tom Settefrati|Margo Trovei,English,1848
Darkroom (2017), Drama| Horror,18/01/2017,Philippines,RATED,6.6,95,Ella Cruz|Bret Jackson|AJ Muhlach|Donnalyn Bartolome|Andrew Muhlach|Rose Van Ginkel|Caleb Santos|Samantha Capulong|Jack Reid|Lander Vera-Perez|Abby Bautista,Filipino,1689
Don't Look in the Basement 2 (2015), Horror| Thriller,25/05/2016,USA,RATED,4,88,Andrew Sensenig|Frank Mosley|Arianne Martin|Jim O'Rear|Scott Tepperman|Megan Emerick|Willie Minor|Camilla Carr|Earl Browning III|Brady McInnes|Carolyn King|Chester Rushing|Libby Hall|Kim Foster|Joseph Spector,English,1881
